lon,lat
-83.8027,30.84072
-83.80276,30.8366
-83.802839,30.701305
-83.80288,30.84301
-83.80292,30.8709
-83.803159,30.849803
-83.803209,30.738462
-83.80339,30.79283
-83.803509,30.798893
-83.80357,30.85655
-83.80383,30.87546
-83.80384,30.76977
-83.80388,30.704031
-83.803966,30.718177
-83.80405,30.88656
-83.80451,30.87174
-83.804693,30.845855
-83.80514,30.87301
-83.80514,30.89895
-83.80529,30.89633
-83.80532,30.87036
-83.80534,30.89569
-83.80536,30.89498
-83.80543,30.79305
-83.80571,30.86971
-83.80642,30.89719
-83.807449,30.798058
-83.80759,30.90011
-83.80761,30.85656
-83.807718,30.877447
-83.808114,30.743744
-83.80816,30.76181
-83.808183,30.743794
-83.808257,30.79745
-83.808382,30.877484
-83.808603,30.792045
-83.80885,30.9016
-83.80886,30.90372
-83.80917,30.87672
-83.80921,30.79698
-83.809271,30.79639
-83.809526,30.847284
-83.80975,30.76427
-83.8101,30.90351
-83.81017,30.90453
-83.810222,30.843081
-83.810237,30.818702
-83.81044,30.90273
-83.81051,30.90273
-83.81054,30.89974
-83.81079,30.86223
-83.8108,30.90584
-83.81098,30.79696
-83.81112,30.90858
-83.81134,30.79878
-83.81142,30.79909
-83.81145,30.90632
-83.81159,30.917191
-83.81169,30.8572
-83.811705,30.816942
-83.811813,30.800123
-83.81184,30.81096
-83.81188,30.90732
-83.81208,30.79807
-83.81217,30.90787
-83.81224,30.90787
-83.81226,30.83672
-83.81237,30.91022
-83.812579,30.755215
-83.812618,30.755131
-83.81266,30.90866
-83.81282,30.80064
-83.81294,30.80722
-83.81295,30.87704
-83.813087,30.918224
-83.81319,30.84818
-83.8134,30.85177
-83.81345,30.85415
-83.81347,30.79931
-83.81349,30.85452
-83.81353,30.85334
-83.81356,30.90949
-83.8136,30.750617
-83.8136,30.91097
-83.81367,30.75726
-83.81393,30.79667
-83.81396,30.86153
-83.814096,30.848316
-83.8141,30.8559
-83.81413,30.75091
-83.81414,30.8609
-83.81436,30.85247
-83.814407,30.746689
-83.81441,30.80165
-83.8144,30.84814
-83.81446,30.86035
-83.81499,30.77961
-83.81508,30.85988
-83.815167,30.845853
-83.81546,30.84964
-83.816575,30.783747
-83.816602,30.733795
-83.816955,30.803325
-83.817,30.80558
-83.81737,30.67952
-83.817467,30.67823
-83.817898,30.843165
-83.818262,30.730492
-83.818264,30.732295
-83.818265,30.857779
-83.818324,30.731396
-83.81974,30.85242
-83.81998,30.85642
-83.82068,30.82175
-83.821122,30.71191
-83.82118,30.751537
-83.82133,30.75391
-83.821503,30.842255
-83.821705,30.833791
-83.82171,30.8522
-83.82216,30.85462
-83.82228,30.67286
-83.82257,30.85356
-83.822641,30.857466
-83.82291,30.85803
-83.823004,30.857537
-83.82315,30.75283
-83.82324,30.80918
-83.823655,30.86051
-83.82412,30.87467
-83.82421,30.68402
-83.82451,30.808
-83.82475,30.85874
-83.825191,30.808032
-83.82551,30.77849
-83.825746,30.717947
-83.8258,30.68138
-83.8259,30.69725
-83.82606,30.87697
-83.82612,30.853
-83.82689,30.76761
-83.82689,30.76762
-83.82691,30.87913
-83.82696,30.83412
-83.8273,30.77933
-83.82769,30.7676
-83.82781,30.69887
-83.82786,30.83414
-83.82847,30.76761
-83.828566,30.745726
-83.82863,30.69669
